BSE/BOM533022,20 Microns Ltd
BSE/BOM500790,Nestle India Ltd
BSE/BOM532912,Net 4 India Ltd
BSE/BOM509040,Netlink Solutions (india) Ltd
BSE/BOM511658,Nettlinx Ltd
BSE/BOM530811,Netvista Information Technology Ltd
BSE/BOM523558,Network Ltd
BSE/BOM532798,Network18 Media & Investments Ltd
BSE/BOM524558,Neuland Laboratories Ltd
BSE/BOM532529,New Delhi Television Ltd
BSE/BOM508867,New Markets Advisory Ltd
BSE/BOM501479,New Sagar Trading Coltd
BSE/BOM536644,Newever Trade Wings Ltd
BSE/BOM531959,Newtime Infrastructure Ltd
BSE/BOM532416,Next Mediaworks Ltd
BSE/BOM538874,Nexus Commodities And Technologies Ltd
BSE/BOM532045,Nexxoft Infotel Ltd
NSE/NEYVELILIG,Neyveli Lignite Corporation Ltd
BSE/BOM524774,Ngl Fine-chem Ltd
BSE/BOM517554,Nhc Foods Ltd
BSE/BOM533098,Nhpc Ltd
BSE/BOM590028,Nicco Corporation Ltd
BSE/BOM526721,Nicco Parks & Resorts Ltd
BSE/BOM523209,Nicco Uco Alliance Credit Ltd
BSE/BOM512103,Nidhi Granites Ltd
NSE/UTISUNDER,Nifty
BSE/BOM531083,Nihar Info Global Ltd
BSE/BOM500304,Niit Ltd
BSE/BOM532541,Niit Technologies Ltd
BSE/BOM526159,Nikhil Adhesives Ltd
BSE/BOM531272,Nikki Global Finance Ltd
BSE/BOM530377,Nila Infrastructures Ltd
BSE/BOM502294,Nilachal Refractories Ltd
BSE/BOM530129,Nile Ltd
BSE/BOM523385,Nilkamal Ltd
BSE/BOM531598,Nimbus Foods Industries Ltd
BSE/BOM530971,Nimbus Industries Ltd
BSE/BOM511714,Nimbus Projects Ltd
BSE/BOM532986,Niraj Cement Structurals Ltd
BSE/BOM512425,Nirav Commercials Ltd
BSE/BOM500307,Nirlon Ltd
NSE/NIRVIKARA,Nirvikara Paper Mills Ltd
BSE/BOM539311,Nishtha Finance And Investment (india) Ltd
BSE/BOM532789,Nissan Copper Ltd
BSE/BOM532722,Nitco Ltd
BSE/BOM533202,Nitesh Estates Ltd
BSE/BOM508875,Nitin Alloys Global Ltd
BSE/BOM532854,Nitin Fire Protection Industries Ltd
BSE/BOM532698,Nitin Spinners Ltd
BSE/BOM536161,Nitinbbph
BSE/BOM506532,Nitta Gelatin India Ltd
BSE/BOM512381,Nivedita Mercantile & Financing Ltd
BSE/BOM512245,Nivi Trading Ltd
BSE/BOM517534,Nivyah Infrastructure & Telecom Services Ltd
NSE/NKIND,NK Industries Ltd
BSE/BOM513683,Nlc India Ltd
BSE/BOM526371,Nmdc Ltd
BSE/BOM506991,Noble Explochem Ltd
BSE/BOM539200,Noble Polymers Ltd
BSE/BOM500730,Nocil Ltd
BSE/BOM530435,Noesis Industries Ltd
BSE/BOM523670,Noida Medicare Centre Ltd
BSE/BOM532481,Noida Toll Bridge Company Ltd
NSE/NORBTEAEXP,Norben Tea & Exports Ltd
BSE/BOM534615,North Eastern Carrying Corporation Ltd
NSE/NGCT,Northgate Com Tech Ltd
NSE/NORTHGATE,Northgate Technologies Ltd
BSE/BOM539110,Northlink Fiscal And Capital Services Ltd
BSE/BOM531465,Nouveau Global Ventures Ltd
BSE/BOM513566,Nova Iron & Steel Ltd
BSE/BOM530733,Nova Publications India Ltd
BSE/BOM531791,Novagold Petro-resources Ltd
BSE/BOM500672,Novartis India Ltd
BSE/BOM500310,Novopan Industries Ltd
BSE/BOM530127,Npr Finance Ltd
NSE/NRBBEARING,NRB Bearing Ltd
BSE/BOM530367,Nrb Bearings Ltd
BSE/BOM535458,Nrb Industrial Bearings Ltd
BSE/BOM503780,Nrc Ltd
BSE/BOM526723,Ntc Industries Ltd
BSE/BOM532555,Ntpc Ltd
BSE/BOM533015,Nu Tek India Ltd
BSE/BOM526313,Nu-tech Corporate Services Ltd
NSE/NUCENT,Nucent Finance Ltd
NSE/NUCHEM,Nuchem Ltd
BSE/BOM531209,Nucleus Software Exports Ltd
NSE/NUMERICPW,Numeric Power Systems Ltd
BSE/BOM531304,Nutech Global Ltd
BSE/BOM524764,Nutraplus India Ltd
BSE/BOM530219,Nutricircle Ltd
BSE/BOM531819,Nuway Organic Naturals India Ltd
BSE/BOM504378,Nyssa Corporation Ltd
BSE/BOM539116,O P Chains Ltd
BSE/BOM512489,Oasis Securities Ltd
BSE/BOM538547,Oasis Tradelink Ltd
BSE/BOM533273,Oberoi Realty Ltd
BSE/BOM535657,Objectone Information Systems Ltd
BSE/BOM519491,Ocean Agro (india) Ltd
BSE/BOM538019,Oceanaa Biotek Industries Ltd
BSE/BOM502165,Ocl India Ltd
BSE/BOM533008,Ocl Iron And Steel Ltd
BSE/BOM538894,Octal Credit Capital Ltd
BSE/BOM531996,Odyssey Corporation Ltd
BSE/BOM530175,Odyssey Technologies Ltd
NSE/ONGC,Oil & Natural Gas Corporation Ltd
BSE/BOM500312,Oil And Natural Gas Corporation Ltd
BSE/BOM500313,Oil Country Tubular Ltd
BSE/BOM533106,Oil India Ltd
BSE/BOM538607,Ojas Asset Reconstruction Company Ltd
BSE/BOM526415,Ok Play India Ltd
BSE/BOM521105,Olympia Industries Ltd
BSE/BOM534190,Olympic Cards Ltd
BSE/BOM507609,Olympic Oil Industries Ltd
BSE/BOM531092,Om Metals Infraprojects Ltd
BSE/BOM538537,Omansh Enterprises Ltd
BSE/BOM520021,Omax Autos Ltd
BSE/BOM532880,Omaxe Ltd
BSE/BOM519479,Omega Ag-seeds (punjab) Ltd
BSE/BOM531496,Omkar Overseas Ltd
BSE/BOM532167,Omkar Pharmachem Ltd
BSE/BOM533317,Omkar Speciality Chemicals Ltd
BSE/BOM532340,Omni Axs Software Ltd
BSE/BOM532882,Omnitech Infosolutions Ltd
BSE/BOM514324,Omnitex Industries (india) Ltd
BSE/BOM533632,Onelife Capital Advisors Ltd
BSE/BOM535647,Onesource Techmedia Ltd
BSE/BOM532944,Onmobile Global Ltd
BSE/BOM532607,Ontrack Systems Ltd
BSE/BOM517536,Onward Technologies Ltd
BSE/BOM530135,Optiemus Infracom Ltd
BSE/BOM531254,Optimus Finance Ltd
BSE/BOM532391,Opto Circuits (india) Ltd
BSE/BOM532466,Oracle Financial Services Software Ltd
BSE/BOM532837,Orbit Corporation Ltd
BSE/BOM512626,Orbit Exports Ltd
NSE/ORCHIDCHEM,Orchid Chemicals & Pharmaceuticals Ltd
BSE/BOM524372,Orchid Pharma Ltd
BSE/BOM531157,Organic Coatings Ltd
NSE/ORICONENT,Oricon Enterprises Ltd
NSE/ORIENTABRA,Orient Abrasives Ltd
NSE/ORIENTBELL,Orient Bell Ltd
BSE/BOM507690,Orient Beverages Ltd
BSE/BOM535754,Orient Cement Ltd
NSE/ORIENTCERA,Orient Ceramics and Industries Ltd
BSE/BOM533263,Orient Green Power Company Ltd
BSE/BOM502420,Orient Paper & Industries Ltd
BSE/BOM526325,Orient Press Ltd
BSE/BOM534076,Orient Refractories Ltd
BSE/BOM500315,Oriental Bank Of Commerce
NSE/OCCL,Oriental Carbon & Chemicals Ltd
BSE/BOM500314,Oriental Hotels Ltd
BSE/BOM532817,Oriental Trimex Ltd
BSE/BOM531859,Oriental Veneer Products Ltd
BSE/BOM590127,Oripro Ltd
BSE/BOM590086,Orissa Minerals Development Company Ltd
BSE/BOM504864,Orissa Sponge Iron & Steel Ltd
BSE/BOM531626,Orosil Smiths India Ltd
BSE/BOM539015,Ortel Communications Ltd
BSE/BOM539287,Ortin Laboratories Ltd
BSE/BOM530173,Oscar Global Ltd
BSE/BOM501179,Oscar Investments Ltd
BSE/BOM500317,Oswal Agro Mills Ltd
NSE/BINDALAGRO,Oswal Chemicals & Fertilizers Ltd
BSE/BOM539290,Oswal Greentech Ltd
BSE/BOM509099,Oswal Leasing Ltd
NSE/OSWALMIN,Oswal Minerals Ltd
BSE/BOM531065,Oswal Overseas Ltd
BSE/BOM500318,Oswal Spinning & Weaving Mills Ltd
BSE/BOM514460,Oswal Yarns Ltd
BSE/BOM523151,Otco International Ltd
BSE/BOM507260,Oudh Sugar Mills Ltd
BSE/BOM514330,Overseas Synthetics Ltd
BSE/BOM514414,Oxford Industries Ltd
BSE/BOM539310,Oyeeee Media Ltd
BSE/BOM539291,Ozone World Ltd
BSE/BOM539352,P B Films Ltd
BSE/BOM513403,Pmtelelinnks Ltd
BSE/BOM523862,Pacheli Industrial Finance Ltd
BSE/BOM523483,Pacific Industries Ltd
BSE/BOM538963,Pact Industries Ltd
BSE/BOM531395,Padam Cotton Yarns Ltd
BSE/BOM532350,Padmalaya Telefilms Ltd
BSE/BOM526905,Padmanabh Industries Ltd
BSE/BOM517230,Pae Ltd
BSE/BOM532827,Page Industries Ltd
BSE/BOM511306,Pal Credit & Capital Ltd
BSE/BOM539121,Palco Metals Ltd
BSE/BOM532521,Palred Technologies Ltd
BSE/BOM511597,Palsoft Infosystems Ltd
BSE/BOM517397,Pan Electronics India Ltd
BSE/BOM511525,Pan India Corporation Ltd
BSE/BOM531349,Panacea Biotec Ltd
BSE/BOM538860,Panafic Industrials Ltd
BSE/BOM524820,Panama Petrochem Ltd
NSE/PANASONIC,Panasonic Appliances India Company Ltd
BSE/BOM508941,Panasonic Carbon India Coltd
NSE/PANCARBON,Panasonic Carbon India Company Ltd
BSE/BOM504093,Panasonic Energy India Company Ltd
BSE/BOM513511,Panchmahal Steel Ltd
BSE/BOM531726,Panchsheel Organics Ltd
BSE/BOM506122,Pankaj Piyush Trade & Investment Ltd
BSE/BOM531280,Pankaj Polymers Ltd
BSE/BOM534796,Pankaj Polypack Ltd
BSE/BOM531816,Panoramic Universal Ltd
NSE/PANTALOONR,Pantaloon Retail (India) Ltd
NSE/PFRL,Pantaloons Fashion & Retail Ltd
BSE/BOM524055,Panther Industrial Products Ltd
BSE/BOM500322,Panyam Cements & Mineral Industries Ltd
BSE/BOM513359,Parab Infra Ltd
BSE/BOM533211,Parabolic Drugs Ltd
NSE/PARAGMILK,Parag Milk Foods Ltd
BSE/BOM531255,Paragon Finance Ltd
NSE/PARACABLES,Paramount Communications Ltd
BSE/BOM507970,Paramount Cosmetics (india) Ltd
BSE/BOM533399,Paramount Printpackaging Ltd
BSE/BOM521246,Paras Petrofils Ltd
BSE/BOM532606,Parekh Aluminex Ltd
BSE/BOM501482,Parekh Distributors Ltd
NSE/PDPL,Parenteral Drugs (India) Ltd
BSE/BOM505525,Parichay Investments Ltd
BSE/BOM524628,Parker Agrochem Exports Ltd
BSE/BOM532911,Parle Software Ltd
BSE/BOM538646,Parnami Credits Ltd
BSE/BOM506128,Parnax Lab Ltd
BSE/BOM500162,Parrys Sugar Industries Ltd
BSE/BOM511702,Parsharti Investment Ltd
BSE/BOM511176,Parshwanath Corporation Ltd
BSE/BOM532780,Parsvnath Developers Ltd
BSE/BOM526349,Parth Industries Ltd
BSE/BOM521080,Pasari Spinning Mills Ltd
BSE/BOM500456,Pasupati Acrylon Ltd
BSE/BOM511734,Pasupati Fincap Ltd
BSE/BOM503092,Pasupati Spg& Wvgmills Ltd
BSE/BOM539401,Patdiam Jewellery Ltd
NSE/PATELENG,Patel Engineering Ltd
NSE/PATINTLOG,Patel Integrated Logistics Ltd
BSE/BOM517417,Patels Airtemp (india) Ltd
BSE/BOM524031,Patidar Buildcon Ltd
NSE/PATNI,Patni Computer Systems Ltd
BSE/BOM514326,Patspin India Ltd
BSE/BOM539113,Paul Merchants Ltd
BSE/BOM532742,Paushak Ltd
BSE/BOM535658,Pawansut Holdings Ltd
BSE/BOM532676,Pba Infrastructure Ltd
BSE/BOM514087,Pbm Polytex Ltd
BSE/BOM534809,Pc Jeweller Ltd
BSE/BOM539267,Pc Products India Ltd
BSE/BOM517119,Pcs Technology Ltd
BSE/BOM538730,Pds Multinational Fashions Ltd
NSE/PEACOCKIND,Peacock Industries Ltd
BSE/BOM535205,Pearl Electronics Ltd
NSE/PEPL,Pearl Engineering Polymers Ltd
BSE/BOM532808,Pearl Global Industries Ltd
BSE/BOM523260,Pearl Polymers Ltd
BSE/BOM539273,Pecos Hotels And Pubs Ltd
BSE/BOM524136,Pee Cee Cosma Sope Ltd
BSE/BOM531352,Peeti Securities Ltd
BSE/BOM503031,Peninsula Land Ltd
BSE/BOM513405,Pennar Aluminium Coltd
BSE/BOM539333,Pennar Engineered Building Systems Ltd
NSE/PENIND,Pennar Industries Ltd
BSE/BOM500329,Pentamedia Graphics Ltd
BSE/BOM524210,Pentokey Organy (india) Ltd
BSE/BOM501144,Peoples Investments Ltd
BSE/BOM521062,Perfect-octave Media Projects Ltd
BSE/BOM526435,Perfectpac Ltd
BSE/BOM504132,Permanent Magnets Ltd
BSE/BOM533179,Persistent Systems Ltd
BSE/BOM524046,Pet Plastics Ltd
BSE/BOM530381,Petron Engineering Construction Ltd
BSE/BOM532522,Petronet Lng Ltd
BSE/BOM500680,Pfizer Ltd
BSE/BOM531769,Pfl Infotech Ltd
BSE/BOM533581,Pg Electroplast Ltd
BSE/BOM526747,Pg Foils Ltd
BSE/BOM531281,Pg Industry Ltd
BSE/BOM500143,Ph Capital Ltd
BSE/BOM512026,Ph Trading Ltd
BSE/BOM523620,Phaarmasia Ltd
BSE/BOM524572,Pharmaids Pharmaceuticals Ltd
BSE/BOM506590,Phillips Carbon Black Ltd
BSE/BOM526481,Phoenix International Ltd
BSE/BOM517296,Phoenix Lamps Ltd
BSE/BOM537839,Phoenix Township Ltd
BSE/BOM509084,Photon Capital Advisors Ltd
BSE/BOM526588,Photoquip India Ltd
BSE/BOM524808,Phyto Chem (india) Ltd
BSE/BOM523642,Pi Industries Ltd
BSE/BOM530305,Piccadily Agro Industries Ltd
BSE/BOM507498,Piccadily Sugar & Allied Industries Ltd
BSE/BOM532355,Picturehouse Media Ltd
BSE/BOM500331,Pidilite Industries Ltd
BSE/BOM500327,Pil Italica Lifestyle Ltd
BSE/BOM590121,Pilani Investment And Industries Corporation Ltd
BSE/BOM538771,Pincon Spirit Ltd
BSE/BOM511421,Pine Animation Ltd
BSE/BOM519439,Pioneer Agro Extracts Ltd
BSE/BOM531879,Pioneer Distilleries Ltd
NSE/PIONEEREMB,Pioneer Embroideries Ltd
BSE/BOM507864,Pioneer Investcorp Ltd
NSE/PIPAVAVDOC,Pipavav Defence and Offshore Engineering Company Ltd
BSE/BOM500302,Piramal Enterprises Ltd
BSE/BOM532949,Piramal Glass Ltd
NSE/PIRHEALTH,Piramal Healthcare Ltd
NSE/PIRLIFE,Piramal Life Sciences Ltd
BSE/BOM532979,Piramal Phytocare Ltd
BSE/BOM530683,Pithampur Poly Products Ltd
BSE/BOM513611,Pithampur Steels Ltd
NSE/PITTILAM,Pitti Laminations Ltd
BSE/BOM500333,Pix Transmissions Ltd
BSE/BOM523105,Planter Polysacks Ltd
NSE/PLASTIBLEN,Plastiblends India Ltd
BSE/BOM532739,Plethico Pharmaceuticals Ltd
BSE/BOM534060,Pmc Fincorp Ltd
BSE/BOM532366,Pnb Gilts Ltd
NSE/PNBHOUSING,PNB Housing Finance Ltd
BSE/BOM539150,Pnc Infratech Ltd
BSE/BOM539347,Pneumatic Holdings Ltd
BSE/BOM532803,Pochiraju Industries Ltd
BSE/BOM539195,Pocl Enterprises Ltd
BSE/BOM523628,Poddar Housing And Development Ltd
NSE/PODDARMENT,Poddar Pigments Ltd
BSE/BOM532486,Pokarna Ltd
BSE/BOM504288,Polar Industries Ltd
BSE/BOM532254,Polaris Consulting & Services Ltd
BSE/BOM526687,Polo Hotels Ltd
BSE/BOM507645,Polson Ltd
BSE/BOM531768,Poly Medicure Ltd
BSE/BOM506605,Polychem Ltd
BSE/BOM531397,Polycon International Ltd
BSE/BOM514486,Polygenta Technologies Ltd
BSE/BOM531454,Polylink Polymers (india) Ltd
BSE/BOM537573,Polymac Thermoformers Ltd
BSE/BOM526043,Polymechplast Machines Ltd
BSE/BOM524051,Polyplex Corporation Ltd
BSE/BOM539354,Polyspin Exports Ltd
BSE/BOM512481,Polytex India Ltd
BSE/BOM532626,Pondy Oxides & Chemicals Ltd
BSE/BOM532460,Ponni Sugars (erode) Ltd
BSE/BOM532011,Pooja Entertainment And Films Ltd
BSE/BOM519359,Poona Dal & Oil Industries Ltd
BSE/BOM531870,Popular Estate Management Ltd
BSE/BOM532933,Porwal Auto Components Ltd
BSE/BOM539178,Positive Electronics Ltd
BSE/BOM532810,Power Finance Corporation Ltd
BSE/BOM532898,Power Grid Corporation Of India Ltd
BSE/BOM539302,Power Mech Projects Ltd
BSE/BOM538731,Powerhouse Gym & Wellness Ltd
BSE/BOM532934,Ppap Automotive Ltd
BSE/BOM539351,Prabhat Dairy Ltd
BSE/BOM531855,Prabhav Industries Ltd
BSE/BOM513532,Pradeep Metals Ltd
BSE/BOM533178,Pradip Overseas Ltd
BSE/BOM500192,Prag Bosimi Synthetics Ltd
BSE/BOM522205,Praj Industries Ltd
BSE/BOM531746,Prajay Engineers Syndicate Ltd
BSE/BOM533605,Prakash Constrowell Ltd
BSE/BOM506022,Prakash Industries Ltd
BSE/BOM533239,Prakash Steelage Ltd
BSE/BOM531437,Prakash Woollen & Synthetic Mills Ltd
BSE/BOM531172,Pranavaditya Spinning Mills Ltd
BSE/BOM519014,Prashant India Ltd
BSE/BOM532718,Pratibha Industries Ltd
BSE/BOM526490,Pratik Panels Ltd
BSE/BOM531257,Pratiksha Chemicals Ltd
BSE/BOM506107,Precious Trading & Investments Ltd
NSE/PRECAM,Precision Camshafts Ltd
BSE/BOM523874,Precision Containeurs Ltd
BSE/BOM517258,Precision Electronics Ltd
BSE/BOM523539,Precision Wires India Ltd
NSE/PRECOT,Precot Meridian Ltd
BSE/BOM530669,Prem Somani Financial Services Ltd
BSE/BOM530331,Premco Global Ltd
BSE/BOM511016,Premier Capital Services Ltd
BSE/BOM533100,Premier Energy And Infrastructure Ltd
BSE/BOM526247,Premier Explosives Ltd
BSE/BOM500540,Premier Ltd
BSE/BOM513291,Premier Pipes Ltd
BSE/BOM514354,Premier Polyfilm Ltd
BSE/BOM509835,Premier Synthetics Ltd
BSE/BOM511660,Premium Capital Market & Investments Ltd
BSE/BOM531802,Prerna Infrabuild Ltd
BSE/BOM513613,Presha Metallurgical Ltd
BSE/BOM509077,Pressman Advertising Ltd
BSE/BOM526773,Pressure Sensitive Systems (india) Ltd
BSE/BOM533274,Prestige Estates Projects Ltd
BSE/BOM526691,Pretto Leather Industries Ltd
BSE/BOM526109,Pricol Ltd
BSE/BOM519262,Prima Agro Ltd
BSE/BOM531246,Prima Industries Ltd
BSE/BOM530589,Prima Plastics Ltd
BSE/BOM535514,Prime Capital Market Ltd
BSE/BOM532748,Prime Focus Ltd
BSE/BOM519299,Prime Industries Ltd
BSE/BOM530695,Prime Property Development Corporation Ltd
BSE/BOM500337,Prime Securities Ltd
BSE/BOM521149,Prime Urban Development India Ltd
BSE/BOM500338,Prism Cement Ltd
BSE/BOM531735,Prism Finance Ltd
BSE/BOM505530,Prism Informatics Ltd
BSE/BOM512217,Prism Medico And Pharmacy Ltd
BSE/BOM532675,Prithvi Information Solutions Ltd
BSE/BOM531688,Prithvi Softech Ltd
BSE/BOM532387,Pritish Nandy Communications Ltd
BSE/BOM524580,Priya Ltd
BSE/BOM503873,Priyadarshini Spinning Mills Ltd
BSE/BOM511557,Pro Fin Capital Services Ltd
BSE/BOM512105,Proaim Enterprises Ltd
BSE/BOM526009,Procal Electronics India Ltd
BSE/BOM500459,Procter & Gamble Hygiene & Health Care Ltd
NSE/PGHH,Procter & Gamble Hygiene and Health Care Ltd
BSE/BOM523001,Professional Diamonds Ltd
BSE/BOM531265,Progressive Extractions & Exports Ltd
BSE/BOM526494,Promact Plastics Ltd
BSE/BOM530069,Proto Developers & Technologies Ltd
BSE/BOM590120,Provestment Services Ltd
BSE/BOM532647,Provogue (india) Ltd
NSE/PROZONE,Prozone Capital Shopping Centres Ltd
BSE/BOM534675,Prozone Intu Properties Ltd
BSE/BOM505502,Ps It Infrastructure & Services Ltd
BSE/BOM526801,Psl Ltd
BSE/BOM533344,Ptc India Financial Services Ltd
BSE/BOM532524,Ptc India Ltd
BSE/BOM539006,Ptc Industries Ltd
NSE/PTL,PTL Enterprises Ltd
BSE/BOM516092,Pudumjee Industries Ltd
NSE/PDMJEPAPER,Pudumjee Paper Products Ltd
BSE/BOM500343,Pudumjee Pulp & Paper Mills Ltd
BSE/BOM512591,Pulsar International Ltd
BSE/BOM512461,Punctual Trading Ltd
BSE/BOM512099,Punit Commercials Ltd
BSE/BOM532693,Punj Lloyd Ltd
BSE/BOM533295,Punjab & Sind Bank
BSE/BOM506852,Punjab Alkalies & Chemicals Ltd
NSE/PUNJABCHEM,Punjab Chemicals & Crop Protection Ltd
BSE/BOM506618,Punjab Chemicals And Crop Protection Ltd
BSE/BOM500346,Punjab Communications Ltd
BSE/BOM532461,Punjab National Bank
BSE/BOM509839,Punjab Woolcombers Ltd
BSE/BOM532891,Puravankara Ltd
BSE/BOM523315,Purity Flex Pack Ltd
BSE/BOM538993,Purohit Construction Ltd
BSE/BOM538647,Purshottam Investofin Ltd
BSE/BOM531562,Pushpsons Industries Ltd
BSE/BOM517556,Pvp Ventures Ltd
BSE/BOM532689,Pvr Ltd
BSE/BOM536659,Pvv Infra Ltd
BSE/BOM534109,Pyxis Finvest Ltd
BSE/BOM511116,Quadrant Televentures Ltd
BSE/BOM538596,Quantum Build-tech Ltd
BSE/BOM530281,Quantum Digital Vision (india) Ltd
NSE/QGOLDHALF,Quantum Gold Fund -Exchange Traded Fund (ETF)
NSE/QNIFTY,Quantum Index Fund -Exchange Traded Fund (ETF)
BSE/BOM590110,Quantum Mutual Fund - Quantum Index Fund Etf
NSE/QUESS,Quess Corp Ltd
BSE/BOM535719,Quest Softech (india) Ltd
NSE/QUICKHEAL,Quick Heal Technologies Ltd
BSE/BOM532866,Quintegra Solutions Ltd
BSE/BOM536456,R J Bio-tech Ltd
BSE/BOM532735,R Systems International Ltd
NSE/RSSOFTWARE,R S Software (India) Ltd
BSE/BOM532024,Rbgupta Financials Ltd
BSE/BOM509845,Rjshah & Coltd
NSE/RPPINFRA,RPP Infra Projects Ltd
BSE/BOM530917,Rrsecurities Ltd
BSE/BOM517447,Rssoftware India Ltd
BSE/BOM512565,Rtexports Ltd
NSE/RELBANK,R Shares Banking ETF
BSE/BOM533888,R Shares Banking Exchange Traded Fund
NSE/RELGOLD,R Shares Gold ETF
NSE/BANKBEES,RShares Bank BeES
NSE/GOLDBEES,RShares Gold BeES
NSE/HNGSNGBEES,RShares Hang Seng BeES
NSE/INFRABEES,RShares Infra BeES
NSE/JUNIORBEES,RShares Junior BeES
NSE/LIQUIDBEES,RShares Liquid BeES
NSE/NIFTYBEES,RShares Nifty BeES
NSE/PSUBNKBEES,RShares PSU Bank BeES
NSE/SHARIABEES,RShares Shariah BeES
BSE/BOM538119,R&b Denims Ltd
BSE/BOM524502,Raaj Medisafe India Ltd
BSE/BOM502271,Raasi Refractories Ltd
BSE/BOM520073,Racl Geartech Ltd
BSE/BOM590070,Radaan Mediaworks (i) Ltd
NSE/RADAAN,Radaan Mediaworks India Ltd
BSE/BOM530561,Radford Global Ltd
BSE/BOM532692,Radha Madhav Corporation Ltd
BSE/BOM531273,Radhe Developers (india) Ltd
BSE/BOM532497,Radico Khaitan Ltd
BSE/BOM531412,Radix Industries (india) Ltd
BSE/BOM531627,Raghava Estates And Properties Ltd
BSE/BOM526813,Raghunath International Ltd
BSE/BOM531552,Raghunath Tobacco Coltd
BSE/BOM538921,Raghuvansh Agrofarms Ltd
BSE/BOM514316,Raghuvir Synthetics Ltd
BSE/BOM531887,Rahul Merchandising Ltd
BSE/BOM530047,Rai Saheb Rekhchand Mohota Spg& Wvgmills Ltd
NSE/RAINCOM,Rain Commodities  Ltd
BSE/BOM500339,Rain Industries Ltd
BSE/BOM532441,Rainbow Denim Ltd
BSE/BOM531694,Rainbow Foundations Ltd
NSE/RAINBOWPAP,Rainbow Papers Ltd
NSE/RAIREKMOH,Raisaheb Reckhchand Mohota Spinning & Weaving Mills Ltd
BSE/BOM530291,Raj Agro Mills Ltd
BSE/BOM533093,Raj Oil Mills Ltd
BSE/BOM530111,Raj Packaging Industries Ltd
NSE/RAJRAYON,Raj Rayon Industries Ltd
BSE/BOM532826,Raj Television Network Ltd
BSE/BOM503127,Raja Bahadur International Ltd
BSE/BOM519303,Rajani Extractions Ltd
NSE/RAJPALAYAM,Rajapalayam Mills Ltd
BSE/BOM538707,Rajasthan Cylinders & Containers Ltd
BSE/BOM526873,Rajasthan Gases Ltd
BSE/BOM506975,Rajasthan Petro Synthetics Ltd
BSE/BOM530253,Rajasthan Tube Manufacturing Coltd
BSE/BOM507962,Rajath Finance Ltd
BSE/BOM526662,Rajdarshan Industries Ltd
BSE/BOM523030,Rajdhani Leasing & Industries Ltd
BSE/BOM531500,Rajesh Exports Ltd
BSE/BOM513630,Rajesh Malleables Ltd
BSE/BOM526823,Rajeswari Infrastructure Ltd
BSE/BOM514028,Rajkamal Synthetics Ltd
BSE/BOM513369,Rajkumar Forge Ltd
BSE/BOM512319,Rajlaxmi Industries Ltd
BSE/BOM522257,Rajoo Engineers Ltd
BSE/BOM539090,Rajputana Investment And Finance Ltd
BSE/BOM517522,Rajratan Global Wire Ltd
BSE/BOM512409,Rajsanket Realty Ltd
BSE/BOM500354,Rajshree Sugars & Chemicals Ltd
BSE/BOM532665,Rajvir Industries Ltd
BSE/BOM500355,Rallis India Ltd
BSE/BOM534734,Ram Minerals And Chemicals Ltd
BSE/BOM522281,Ram Ratna Wires Ltd
BSE/BOM500357,Rama Paper Mills Ltd
BSE/BOM500358,Rama Petrochemicals Ltd
BSE/BOM524037,Rama Phosphates Ltd
BSE/BOM502587,Rama Pulp & Papers Ltd
BSE/BOM539309,Rama Steel Tubes Ltd
BSE/BOM523289,Rama Vision Ltd
BSE/BOM538540,Ramchandra Leasing & Finance Ltd
BSE/BOM532369,Ramco Industries Ltd
BSE/BOM532370,Ramco Systems Ltd
BSE/BOM530951,Raminfo Ltd
BSE/BOM532527,Ramkrishna Forgings Ltd
BSE/BOM533262,Ramky Infrastructure Ltd
BSE/BOM515127,Rammaica (india) Ltd
BSE/BOM532690,Ramsarup Industries Ltd
BSE/BOM530925,Ramsons Projects Ltd
BSE/BOM507490,Rana Sugars Ltd
BSE/BOM500359,Ranbaxy Laboratories Ltd
BSE/BOM531228,Rander Corporation Ltd
BSE/BOM532661,Rane (madras) Ltd
BSE/BOM532987,Rane Brake Lining Ltd
BSE/BOM532988,Rane Engine Valve Ltd
BSE/BOM505800,Rane Holdings Ltd
BSE/BOM513727,Ranjeev Alloys Ltd
NSE/RANKLIN,Ranklin Solutions Ltd
BSE/BOM531583,Rap Media Ltd
BSE/BOM500360,Rapicut Carbides Ltd
BSE/BOM501351,Rapid Investments Ltd
BSE/BOM507966,Ras Resorts & Apart Hotels Ltd
BSE/BOM522207,Rasandik Engineering Industries India Ltd
BSE/BOM532055,Rashel Agrotech Ltd
BSE/BOM524230,Rashtriya Chemicals & Fertilizers Ltd
NSE/RCF,Rashtriya Chemicals and Fertilizers Ltd
BSE/BOM531233,Rasi Electrodes Ltd
BSE/BOM507649,Rasoi Ltd
BSE/BOM531522,Rasoya Proteins Ltd
BSE/BOM512397,Ratan Glitter Industries Ltd
BSE/BOM532918,Rathi Bars Ltd
BSE/BOM524610,Rathi Graphic Technologies Ltd
BSE/BOM504903,Rathi Steel & Power Ltd
BSE/BOM507652,Ratnamani Agro Industries Ltd
NSE/RATNAMANI,Ratnamani Metals & Tubes Ltd
BSE/BOM534597,Rattanindia Infrastructure Ltd
BSE/BOM533122,Rattanindia Power Ltd
BSE/BOM537840,Raunaq Epc International Ltd
